Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
109,test,0.48977143744953344,0.8719262295081968,0.8769208039571591,0.8715057242286741
110,train,0.05500956503258873,0.9774742043307659,0.9792309581923373,0.9774776923464477
110,val,0.5036089043152283,0.8651452282157677,0.8731051628365792,0.8645765321621248
110,test,0.47770567018477644,0.8698770491803278,0.8755543509171522,0.8696131950329882
111,train,0.05251865982879405,0.9795087923266967,0.981189209214633,0.9795179078991074
111,val,0.5085532817355825,0.8744813278008299,0.8817852774311898,0.8742593461761745
111,test,0.484816846300344,0.867827868852459,0.8733424393774305,0.8676854284109583
112,train,0.05154914698889567,0.9797994477546869,0.9814427764757557,0.9798140731566661
112,val,0.5141908505398208,0.8651452282157677,0.8731788878076143,0.8647800172099586
112,test,0.48432531415439045,0.8642418032786885,0.869996147548885,0.8640862564844299
113,train,0.05050177021552234,0.9799447754686819,0.9815347626823223,0.9799515279545203
113,val,0.5235548115864829,0.8568464730290456,0.8652981014470109,0.8560988072470532
113,test,0.49962862300091104,0.8637295081967213,0.8693377385394607,0.8632101004719205
114,train,0.050248965243647185,0.9805260863246621,0.9820939158395809,0.9805389399302119
114,val,0.5233131252631112,0.8620331950207469,0.8702439805386011,0.8615414897312349
114,test,0.4987982511520386,0.867827868852459,0.873549139364781,0.8676282177947169
115,train,0.047978722745770024,0.9799447754686819,0.9815893043793598,0.9799494991851476
115,val,0.5449066597396407,0.8651452282157677,0.8731645419711087,0.8648886424331818
